Day;Month;Year;Time (GMT/UTC);Wind - Mean Speed (knots);Wind - Mean Direction;Wind speed  (m/s);kts to m/s;;;;k;2.23;A;7.00;;;;;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;24-25;25-26;26-27;27-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2007;0;n/a;n/a;;1.94384;;Count;centers;Normalised;Percentage;Weibull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2007;1;26;270;13.37558647;;Sum 0-1;9;0.5;0.001027515;0.102751456;0.012366926;Average wind;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2007;2;24;270;12.3466952;27.26561857;Sum 1-2;174;1.5;0.019865281;1.986528142;0.046380546;6.904695589;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2007;3;23;270;11.83224957;;Sum 2-3;524;2.5;0.059824181;5.982418084;0.081187339;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2007;4;24;270;12.3466952;;Sum 3-4;882;3.5;0.100696427;10.06964265;0.109740332;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2007;5;26;280;13.37558647;;Sum 4-5;1054;4.5;0.120333371;12.03333714;0.127365433;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2007;6;29;280;14.91892337;;Sum 5-6;1161;5.5;0.132549378;13.25493778;0.132050001;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2007;7;27;280;13.8900321;;Sum 6-7;1139;6.5;0.130037676;13.00376755;0.124589121;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2007;8;26;280;13.37558647;;Sum 7-8;992;7.5;0.113254938;11.32549378;0.108027652;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2007;9;21;280;10.8033583;;Sum 8-9;762;8.5;0.086996232;8.699623245;0.086559485;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
